🗣️🌍	Part of Speech	English									简体中文									繁體中文									हिंदी									Русский									Português									Deutsch								
📰	verb	kisa	Arabic قِصَّة qiṣṣa 'story, telling'	narrate	to narrate	story, narrative					kisa	Arabic قِصَّة qiṣṣa 'story, telling'	叙述	叙述、讲述	故事、叙事					kisa	Arabic قِصَّة qiṣṣa 'story, telling'	敘述	敘述、講述	故事、敘事					कीसा	अरबी قِصَّة क़िस्सा 'क़िस्सा, कहानी'	किस्सा सुनाना	किस्सा/कहानी/कथा सुनाना	किस्सा, कहानी, कथा, दास्तान, गाथा					киса	Арабский قِصَّة qiṣṣa 'история, рассказ'	рассказ	рассказывать	история, повествование					kisa	Árabe قِصَّة qiṣṣa 'estória, conto'	narrar	narrar	estória, narrativa					kisa	Arabisch قِصَّة qiṣṣa 'Erzählung, Geschichte'	erzählen	erzählen	Erzählung, Geschichte				
🦏	noun	kita	Telugu గిట్ట giṭṭa 'hoof'	ungulate		ungulate: elephant, deer, giraffe					kita	Telugu గిట్ట giṭṭa 'hoof'	有蹄类		有蹄类动物：大象、鹿、长颈鹿（不包括马牛羊）					kita	Telugu గిట్ట giṭṭa 'hoof'	有蹄類		有蹄類動物：大象、鹿、長頸鹿（不包括馬牛羊）					कीता	तेलुगु గిట్ట गिट्ट 'खुर'	खुरदार		खुर वाले जानवर, जैसे हाथी, हिरण, आदि					кита	Телугу గిట్ట giṭṭa 'копыто'	слон		копытные (слон, олень, жираф)					kita	Telugu గిట్ట giṭṭa 'casco'	ungulado		ungulado: elefante, veado, girafa					kita	Telugu గిట్ట giṭṭa 'Huf'	Huftier		Huftier: Elefant, Giraffe, Reh				
💎	noun	kiwen	Finnish kiven, genitive of kivi ‘stone’	rock		hard thing, stone, mineral, rock					kiwen	Finnish kiven, genitive of kivi ‘stone’	岩石		坚硬的东西、石头、矿物、岩石					kiwen	Finnish kiven, genitive of kivi ‘stone’	岩石		堅硬的東西、石頭、礦物、岩石					कीवें	फ़िन्निश kiven कीवेन, 'का पत्थर'	पत्थर		कड़क चीज़, पत्थर					кивэн	Финский kiven, родительный падеж от kivi ‘камень’	камень		твердая вещь, камень, минерал, скала					kiwen	Finlandês kiven, genitivo de kivi ‘pedra’	rocha		coisa dura, pedra, mineral, rocha					kiwen	Finnisch kiven, Genitiv von kivi ‘Stein’	Stein		hartes Objekt, Stein, Mineral				
🍦	noun	ko	Cantonese 膏 gou1 ‘cream, paste’	paste		clay, clinging form, dough, semi-solid, paste					ko	Cantonese 膏 gou1 ‘cream, paste’	黏土		黏土、面团、半固体、糊状物					ko	Cantonese 膏 gou1 ‘cream, paste’	黏土		黏土、麵團、半固體、糊狀物					को	कैंटोनी 膏 गोउ ‘क्रीम’	क्रीम		क्रीम, पेस्ट					ко	Кантонский 膏 gou1 ‘крем, паста’	паста		паста, глина, пищевая смесь, каша, тесто, полутвердое вещество, дерьмо					ko	Cantonês 膏 gou1 ‘creme, pasta’	pasta		barro, forma pegajosa, massa, semissólido, pasta					ko	Kantonesisch 膏 gou1 ‘Creme, Paste’	Paste		Ton, Teig, halbfeste Masse, Paste				
🤸	verb	kokan	Vietnamese cố gắng 'try'	try	to try, to attempt, to endevour, to pursue	attempt					kokan	Vietnamese cố gắng 'try'	尝试	尝试、尝试、努力、追求	尝试					kokan	Vietnamese cố gắng 'try'	嘗試	嘗試、嘗試、努力、追求	嘗試					कोकां	वियतनामी cố gắng कोगाङ 'कोशिश करना'	कोशिश	कोशिश/प्रयास/प्रयत्न करना	कोशिश, प्रयास, प्रयत्न					кокан	Вьетнамский cố gắng 'пытаться'	пытаться	пытаться, пробовать, делать попытку	попытка					kokan	Vietnamita cố gắng 'tentar'	tentar	tentar, experimentar, perseguir	tentativa					kokan	Vietnamesisch cố gắng 'versuchen'	veruschen	versuchen	Versuch				
🙌	modifier	komumo	Zulu ngomumo 'ready'	ready			ready, prepared				komumo	Zulu ngomumo 'ready'	预备的			准备好的、预备的				komumo	Zulu ngomumo 'ready'	預備的			準備好的、預備的				कोमूमो	ज़ुलु ngomumo ङोमूमो 'तैयार'	तैयार			तैयार				комумо	Зулу ngomumo 'готов'	готовый			готовый, приготовленный, очищенный				komumo	Zulu ngomumo 'pronto'	pronto			pronto, preparado				komumo	Zulu ngomumo 'bereit'	bereit			bereit, vorbereitet			
💨	noun	kon	Mandarin 空氣 kōngqì ‘air, atmosphere, ambience, opinion’	air		air, gas, wind					kon	Mandarin 空氣 kōngqì ‘air, atmosphere, ambience, opinion’	空气		空气、气体、风					kon	Mandarin 空氣 kōngqì ‘air, atmosphere, ambience, opinion’	空氣		空氣、氣體、風					कों	चीनी 空氣 कोङची ‘हवा’	हवा		हवा, वायु, पवन					кон	Китайский 空氣 kōngqì ‘воздух, атмосфера’	воздух		воздух, газ, ветер					kon	Mandarim 空氣 kōngqì ‘ar, atmosfera, ambiente, opinião’	ar		ar, gás, vento					kon	Mandarin 空氣 kōngqì ‘Luft, Atmosphäre, Ambiente, Meinung’	Luft		Luft, Gas, Wind				
📐	noun	kona	Hindi कोना konā ‘corner’	corner		knee, elbow, joint, corner					kona	Hindi कोना konā ‘corner’	关节		膝、肘、关节、角					kona	Hindi कोना konā ‘corner’	關節		膝、肘、關節、角					कोना	हिंदी कोना	कोना		कोना, कोहनी					кона	Хинди कोना konā ‘угол’	угол		колено, локоть, сустав, угол					kona	Híndi कोना konā ‘canto’	canto		joelho, cotovelo, junta, canto, esquina					kona	Hindi कोना konā ‘Ecke’	Ecke		Knie, Ellbogen, Gelenk, Ecke				
🤓	verb	konta	Xhosa qonda 'understand'	understand	understand	concept, lesson					konta	Xhosa qonda 'understand'	理解	理解、懂得、弄明白、学习	概念、课程					konta	Xhosa qonda 'understand'	理解	理解、懂得、弄明白、學習	概念、課程					कोंता	कोसा qonda कोंदा 'समझना'	समझना	समझना	फ़ंडा, संकल्पना, पाठ					конта	Глоса qonda 'понимать'	понимать	понимать	концепция, урок					konta	Xhosa qonda 'entender'	entender	entender	conceito, lição					konta	Xhosa qonda 'verstehen'	verstehen	verstehen	Konzept, Lektion				
🌈	noun	kule	Acadian French couleur ‘color’	color		color, paint					kule	Acadian French couleur ‘color’	颜色		颜色、色彩、颜料					kule	Acadian French couleur ‘color’	顏色		顏色、色彩、顏料					कूले	अकाडियन फ्रेंच couleur कोल्यो ‘रंग’	रंग		रंग					кулэ	Французский акадский couleur ‘цвет’	цвет		цвет, краска					kule	Francês acadiano couleur ‘cor’	cor		cor, tinta					kule	Akadisches Französisch couleur ‘Farbe’	Farbe		Farbe				
👥	noun	kulupu	Tongan kulupu, from English group	group		community, group, company					kulupu	Tongan kulupu, from English group	团体		队伍、组织、社团、团体、团队、群体、公司					kulupu	Tongan kulupu, from English group	團體		隊伍、組織、社團、團體、團隊、群體、公司					कूलूपू	टोंगन kulupu कूलूपू, जिसका मूल है अंग्रेज़ी group ग्रूप 'गुट'	गुट		गुट, दल, कंपनी					кулупу	Тонга kulupu 'группа', с английского group	группа		сообщество, группа, компания					kulupu	Tonganês kulupu, do inglês group 'grupo'	grupo		comunidade, grupo, companhia					kulupu	Tongan kulupu, aus dem Englischen group 'Gruppe'	Gruppe		Gruppe, Gemeinschaft, Vereinigung				
🎈	noun	kumi	German Gummi, Danish gummi, Swedish gummi	plastic		plastic, rubber, tire, condom					kumi	German Gummi, Danish gummi, Swedish gummi	塑料		塑料、橡胶、轮胎、避孕套					kumi	German Gummi, Danish gummi, Swedish gummi	塑膠		塑膠、橡膠、輪胎、避孕套					कूमी	जर्मन, डैनिश, स्वीडिश gummi गुम्मी 'रबड़'	प्लास्टिक		प्लास्टिक, रबड़, कंडोम					куми	Немецкий gummi, датский gummi, шведский gummi 'резина, пластик'	пластик		пластик, резина, шина, презерватив					kumi	Alemão Gummi, dinamarquês gummi, sueco gummi	plástico		plástico, borracha, pneu, preservativo					kumi	Deutsch Gummi, Dänisch gummi, Schwedisch gummi	Plastik		Plastik, Gummi, Reifen, Kondom				
🤕	modifier	kuton	Mandarin 苦痛 kǔtòng 'pain'	hurt			hurt, injured, in pain				kuton	Mandarin 苦痛 kǔtòng 'pain'	痛苦的			痛苦的、受伤的				kuton	Mandarin 苦痛 kǔtòng 'pain'	痛苦的			痛苦的、受傷的				कूतों	चीनी 苦痛 कूतोङ 'दर्द'	दर्द			ज़ख्मी, दर्द में				кутон	Китайский 苦痛 kǔtòng 'боль'	рана		рана	раненый, сломанный, поврежденный, больной				kuton	Mandarim 苦痛 kǔtòng 'dor'	machucado			machucado, ferido, com dor				kuton	Mandarin 苦痛 kǔtòng 'Schmerz'	verletzt			verletzt, schmerzend			
💡	noun	kuwan	Mandarin 光 guāng, guǎng	light		light					kuwan	Mandarin 光 guāng, guǎng	光		光					kuwan	Mandarin 光 guāng, guǎng	光		光					कूवां	चीनी 光 गुआंङ 'रौशनी'	रौशनी		रौशनी					куван	Китайский 光 guāng, guǎng 'свет'	свет		свет					kuwan	Mandarin 光 guāng, guǎng	luz		luz					kuwan	Mandarin 光 guāng, guǎng	Licht		Licht				
🔼	particle	la	Acadian French -la, proximal & topical suffix	[context]				between the context phrase and the main sentence			la	Acadian French -la, proximal & topical suffix	[语境]				（在上下文短语和主句之间）			la	Acadian French -la, proximal & topical suffix	[語境]				（在上下文短語和主句之間）			ला	अकाडियन फ्रेंच -la -ला	[संदर्भ]				संधर्भ व्याक्यांग और मुख्य वाक्य के बीच			ла	Французский акадский -la, проксимальный и актуальный суффикс	[контекст]				между контекстной фразой и основным предложением			la	Francês acadiano -la, sufixo proximal & tópico	[contexto]				entre a oração de contexto e a frase principal			la	Akadisches Französisch -la, proximaler & thematischer Suffix	[Kontext]				zwischen Kontextsatz und Hauptsatz		
📢	verb	lajo	Japanese ラジオ rajio 'radio'	broadcast	broadcast, announce	broadcast, announced info, advertisement					lajo	Japanese ラジオ rajio 'radio'	广播	广播、宣布、宣告	广播、公布的信息					lajo	Japanese ラジオ rajio 'radio'	廣播	廣播、宣佈、宣告	廣播、公佈的資訊					लायो	जापानी ラジオ रायीओ 'रेडियो'	घोषणा	घोषणा करना, प्रसारण करना	घोषणा, प्रसारण, इश्तेहार, विज्ञापन					лаё	Японский ラジオ rajio 'радио'	радио	транслировать, объявлять	трансляция, реклама, радио, тв					lajo	Japonês ラジオ rajio 'rádio'	difundir	divulgar, anunciar	transmissão, informação anunciado, propaganda comercial					lajo	Japanisch ラジオ rajio 'Radio'	Übertragung	ausstrahlen, ankündigen	Sendung, angekündigte Info, Werbung				
😭	modifier	lakima	Latin lacrima 'tear'	sad			sad, crying				lakima	Latin lacrima 'tear'	悲伤的			悲伤的、哭泣的				lakima	Latin lacrima 'tear'	悲傷的			悲傷的、哭泣的				लाकीमा	लैटिन lacrima लाक्रीमा 'आंसू'	उदास			दुखी, उदास				лакима	Латынь lacrima 'грусть'	грусть		грусть	грустный, плачущий, скорбный, унылый				lakima	Latim lacrima 'lágrima'	triste			triste, chorando				lakima	Lateinisch lacrima 'Träne'	traurig			traurig, weinend			
🦒	modifier	lamo	Nepali लामो lāmō 'long'	long			long, tall, extended, prolonged				lamo	Nepali लामो lāmō 'long'	长的			长的、高的、延长的				lamo	Nepali लामो lāmō 'long'	長的			長的、高的、延長的				लामो	नेपाली लामो 'लंबा'	लंबा			लंबा, ऊंचा, खींचा हुआ				ламо	Непальский लामो lāmō 'длинный'	длинный		длина	длинный, высокий, удлиненный, продолговатый				lamo	Nepalês लामो lāmō 'longo'	longo			longo, alto, estendido, prolongado				lamo	Nepalesisch लामो lāmō 'lang'	lang			lang, hoch, verlängert			
📥	verb	lanpan	Greek λαμβάνω lamváno ‘take, seize, grasp, receive’	receive	take, receive	received thing, gift (received)					lanpan	Greek λαμβάνω lamváno ‘take, seize, grasp, receive’	取得	取得、接收	收到的东西、礼物（收到的）					lanpan	Greek λαμβάνω lamváno ‘take, seize, grasp, receive’	取得	取得、接收	收到的東西、禮物（收到的）					लांपां	ग्रीक λαμβάνω लाम्वानो ‘लेना, मिलना’	लेना	लेना, मिलना	ली हुई चीज़, तोहफ़ा (मिला हुआ)					ланпан	Греческий λαμβάνω lamváno ‘взять, схватить, получить’	получать	взять, получить	посылка, подарок (полученный)					lanpan	Grego λαμβάνω lamváno ‘pegar, tomar, agarrar, receber’	receber	take, receive	received thing, gift (received)					lanpan	Griechisch λαμβάνω lamváno ‘nehmen, ergreifen, fassen, empfangen’	erhalten	nehmen, erhalten	erhaltene Sache, Geschenk (erhalten)				
😴	modifier	lape	Dutch slapen ‘sleep’	sleeping			sleeping, resting				lape	Dutch slapen ‘sleep’	睡觉的			睡觉的、睡着的、休息的				lape	Dutch slapen ‘sleep’	睡覺的			睡覺的、睡著的、休息的				लापे	डच slapen स्लापेन ‘सोना’	सोता			सोता हुआ				лапэ	Датский slapen ‘спать’	сон	спать	сон	сонный, отдыхающий				lape	Neerlandês slapen ‘dormir’	adormecido			adormecido, em repouso				lape	Niederländisch slapen ‘schlafen’	schlafend			schlafend, ausruhend			
🫐	modifier	laso	Welsh glas ‘blue, inexperienced’	blue			blue				laso	Welsh glas ‘blue, inexperienced’	蓝色的			蓝色的				laso	Welsh glas ‘blue, inexperienced’	藍色的			藍色的				लासो	वेल्श glas ग्लास ‘नीला’	नीला			नीला				ласо	Уэльский glas ‘синий’	синий			синий, голубой				laso	Galês glas ‘azul, sem experiência’	azul			azul				laso	Walisisch glas ‘blau, unerfahren’	blau			blau			
😶	irregular	lawa	Serbo-Croatian glava глава ‘head’	head	head, lead	head, mind, plan, rule	leading				lawa	Serbo-Croatian glava глава ‘head’	头	头、头脑、计划、规划、统治	领导、统领	领先的、统领的				lawa	Serbo-Croatian glava глава ‘head’	頭	頭、頭腦、計畫、規劃、統治	領導、統領	領先的、統領的				लावा	सर्ब-क्रेएशियन glava глава ग्लावा ‘सर’	सर	नेतृत्व करना, मार्गदर्शन करना	सर, मन, राज्य	प्रमुख, प्रधान				лава	Сербо-хорватский glava глава ‘голова’	голова	руководить, направлять	 голова, лидер, вождь, план	ведущий, передовой				lawa	Servo-croata glava глава ‘cabeça’	cabeça	encabeçar, liderar	cabeça, mente, plano, domínio	líder				lawa	Serbokroatisch glava глава ‘Kopf’	Kopf	(an)führen	Kopf, Verstand, Plan, Regel	führend			
🤔	particle	lekin	Hindi लेकिन lekin, ultimately from Arabic لٰكِنْ lākin 'but, however'	but				but, however			lekin	Hindi लेकिन lekin, ultimately from Arabic لٰكِنْ lākin 'but, however'	但是				但是、然而			lekin	Hindi लेकिन lekin, ultimately from Arabic لٰكِنْ lākin 'but, however'	但是				但是、然而			लेकीं	हिंदी लेकिन, जिसका मूल है अरबी لٰكِنْ लाकिन	लेकिन				पर, लेकिन, किंतु, परंतु			лэкин	Хинди लेकिन lekin, с арабского لٰكِنْ lākin 'но, как бы то ни было'	но				но, хотя, как бы то ни было			lekin	Híndi लेकिन lekin, derivado do árabe لٰكِنْ lākin 'mas, porém'	mas				mas, porém			lekin	Hindi लेकिन lekin, aus dem Arabischen لٰكِنْ lākin 'aber, jedoch'	aber				aber, jedoch		
🧱	noun	leko	Lego®, from Danish leg godt ‘play well’	block		square, block, cube, stairs					leko	Lego®, from Danish leg godt ‘play well’	方块		正方形、方块、立方体、阶梯					leko	Lego®, from Danish leg godt ‘play well’	方塊		正方形、方塊、立方體、階梯					लेको	Lego® लेगो, जिस का मूल है डैनिश leg godt लेग गोद ‘ठीक से खेलो’	वर्ग (आकार)		वर्ग (आकार), सीढ़ीयां					лэко	Lego®, с Датского leg godt ‘играй хорошо’	блок		квадрат, блок, куб, лестница					leko	Lego®, do dinamarquês leg godt ‘brincar bem’	bloco		quadrado, bloco, cubo, escadas					leko	Lego®, aus dem Dänischen leg godt ‘spiel gut’	Klotz		Klotz, Quadrat, Block, Würfel, Treppe				
👕	verb	len	Acadian French linge ‘clothing’	cloth	wear, be covered with	cloth, covering					len	Acadian French linge ‘clothing’	穿戴	穿、戴、被……覆盖	衣服、衣物、覆盖物					len	Acadian French linge ‘clothing’	穿戴	穿、戴、被……覆蓋	衣服、衣物、覆蓋物					लें	अकाडियन फ्रेंच linge लिंगे ‘कपड़े’	पहनना	पहनना, (से) ढकना	पहनावा, कपड़ा, पोशाक					лэн	Французский акадский linge ‘одежда’	одежда	носить, быть покрытым	ткань, покрытие					len	Francês acadiano linge ‘roupa’	roupa	vestir, estar coberto por	roupa, cobertura					len	Akadisches Französisch linge ‘Kleidung’	Kleidung	(Kleidung) tragen, bedeckt sein	Kleidung, Bekleidung				
🧻	modifier	lentu	Basque leundu 'smooth'	smooth			smooth, fluent, flowing				lentu	Basque leundu 'smooth'	顺滑的			顺滑的、流利的、流畅的				lentu	Basque leundu 'smooth'	順滑的			順滑的、流利的、流暢的				लेंतू	बास्क leundu लेंदू 'चिकना'	चिकना			चिकना, निर्बाध, बहता हुआ				лэнту	Баскский leundu 'гладкий'	плавный			гладкий, плавный, текучий, неторопливый				lentu	Basco leundu 'liso, suave'	suave			suave, fluente				lentu	Basque leundu 'glatt'	glatt			glatt, fließend			
❄️	modifier	lete	Acadian French frette ‘cold’	cold			cold, cool, uncooked, raw				lete	Acadian French frette ‘cold’	冷的			冷的、凉的、生的				lete	Acadian French frette ‘cold’	冷的			冷的、涼的、生的				लेते	अकाडियन फ्रेंच frette फ्रेते ‘ठंडा’	ठंडा			ठंडा, सर्द, कच्चा				лэтэ	Французский акадский frette ‘холодный’	холодный		холод, мороз	холодный, прохладный, сырой, промозглый				lete	Francês acadiano frette ‘frio’	frio			frio, gelado, não cozido, cru				lete	Akadisches Französisch frette ‘kalt’	kalt			kalt, kühl, ungekocht, roh			
▶️	particle	li	A priori word	[predicate]				marks the verb			li	A priori word	[谓语]				（标记动词）			li	A priori word	[謂語]				（標記動詞）			ली	प्राथमिक शब्द	[क्रिया]				क्रिया का प्रतीक			ли	Априорное слово	[предикат]				отмечает глагол			li	Palavra a priori	[predicado]				marca o verbo			li	A priori Wort	[Prädikat]				markiert das Verb		
📝	verb	lika	Urdu لکھنا‎ likhnā ‘to write’	write	to write, to compose	(written) text, composition, literature					lika	Urdu لکھنا‎ likhnā ‘to write’	书写	书写、写作、作（曲）	（书面的）文字、文章、作文、文学					lika	Urdu لکھنا‎ likhnā ‘to write’	書寫	書寫、寫作、作（曲）	（書面的）文字、文章、作文、文學					लीका	उर्दू لکھنا‎ लिखना	लिखना	लिखना	लेख, साहित्य					лика	Урду لکھنا‎ likhnā ‘писать’	писать	писать, сочинять	(письменный) текст, сочинение, литература					lika	Urdu لکھنا‎ likhnā ‘escrever’	escrever	escrever, compor	texto (escrito), composição, literatura					lika	Urdu لکھنا‎ likhnā ‘schreiben’	schreiben	schreiben, komponieren	(schriftlicher) Text, Komposition, Literatur				
🐌	modifier	lili	Tok Pisin liklik ‘small, little’, from Ramoaaina liklik	small			little, small				lili	Tok Pisin liklik ‘small, little’, from Ramoaaina liklik	小的			小的				lili	Tok Pisin liklik ‘small, little’, from Ramoaaina liklik	小的			小的				लीली	टोक पिसिन liklik लिकलिक ‘छोटा’, जिस का मूल है रमोआइना liklik लिकलिक	छोटा			छोटा				лили	Ток-писин liklik ‘маленький, небольшой’, с рамоанского liklik	маленький			маленький, небольшой				lili	Tok Pisin liklik ‘pequeno’, do ramoaaina liklik	pequeno			pequeno, miúdo				lili	Tok Pisin liklik ‘klein’, aus dem Ramoaaina-ischen liklik	klein			klein			
5️⃣	numeral	lima	Austronesian lima	five						five	lima	Austronesian lima	五						五、5	lima	Austronesian lima	五						五、5	लीमा	औस्ट्रोनीसियन lima लीमा	पाँच						पाँच	лима	Австроазиатские языки lima 'пять'	пять						пять	lima	Austronésio lima	cinco						cinco	lima	Austronesian lima 'fünf'	fünf						fünf
〰️	noun	linja	Finnish linja ‘line’, from Old Swedish linia	line		long and flexible thing, cord, rope, line, wire					linja	Finnish linja ‘line’, from Old Swedish linia	线		长而可弯曲的东西、绳索、线、电线					linja	Finnish linja ‘line’, from Old Swedish linia	線		長而可彎曲的東西、繩索、線、電線					लींया	फ़िन्निश linja लीन्या ‘लक़ीर’, जिसका मूल है प्राचीन स्वीडिश linia लीनिआ	लक़ीर		लंबी और लचीली चीज, लकीर, रेखा, सरहद, वायर					линья	Финский linja ‘линия’, со Старо-шведского linia	линия		длинная и гибкая вещь, шнур, веревка, леска, проволока					linja	Finlandês linja ‘linha’, do sueco antigo linia	linha		coisa longa e flexível, cabo, corda, linha, fio					linja	Finnisch linja ‘Linje’, aus dem Altschwedischen linia	Linie		langes und flexibles Ding, Schnur, Seil, Linie, Draht				
📄	noun	lipu	Finnish lippu ‘flag, banner, ticket’	paper		flat object, book, document, card, paper, ticket, record, website					lipu	Finnish lippu ‘flag, banner, ticket’	纸		平面物体、书籍、文件、卡片、纸、票、记录、网站					lipu	Finnish lippu ‘flag, banner, ticket’	紙		平面物體、書籍、檔、卡片、紙、票、記錄、網站					लीपू	फ़िन्निश lippu लिप्पू ‘झंडा, टिकट’	कागज़		चपटी हुई चीज़, किताब, पुस्तक, दस्तावेज़, कार्ड, कागज़, टिकट, वेबसाइट 					липу	Финский lippu ‘флаг, знамя, билет’	бумага		плоский объект, книга, документ, карта, бумага, билет, запись, веб-сайт					lipu	Finlandês lippu ‘bandeira, estandarte, bilhete’	papel		objeto plano, livro, documento, carta, papel, bilhete, registro, website, sítio da web					lipu	Finnisch lippu ‘Flagge, Banner, Ticket’	Papier		flaches Objekt, Buch, Dokument, Karte, Papier, Ticket, Website				
🤣	modifier	liso	Portuguese riso, ‘laugh’	laughing			laughing				liso	Portuguese riso, ‘laugh’	笑着的			笑着的				liso	Portuguese riso, ‘laugh’	笑著的			笑著的				लीसो	पोर्तुगी riso लीसो ‘हँसना’	हसता			हसता हुआ				лисо	Португальский riso, ‘смех’	смешной		улюбка, юмор	смешной, смеющийся				liso	Português riso	risonho			risonho, que ri				liso	Portuguese riso, ‘laugh’	lachend			lachend			
🍓	modifier	loje	Dutch rooie, colloquial inflected form of rood ‘red’	red			red, reddish				loje	Dutch rooie, colloquial inflected form of rood ‘red’	红色的			红色的				loje	Dutch rooie, colloquial inflected form of rood ‘red’	紅色的			紅色的				लोये	डच rooie रूइ, rood रूद ‘लाल’ का आवामी प्रकार	लाल			लाल				лое	Датский rooie, разговорная форма от rood ‘красный’	красный			красный, красноватый				loje	Neerlandês rooie, forma flexionada coloquial de rood ‘vermelho’	vermelho			vermelho, avermelhado				loje	Niederländisch rooie, colloquial inflected form of rood ‘red’	rot			rot, rötlich			
✅	modifier	lon	Tok Pisin long ‘at, in, on, (spacial particle)’, from English along	real			real, true, existing				lon	Tok Pisin long ‘at, in, on, (spacial particle)’, from English along	真实的			真实的、现实的、存在的				lon	Tok Pisin long ‘at, in, on, (spacial particle)’, from English along	真實的			真實的、現實的、存在的				लों	टोक पिसिन long लाॅङ्ग ‘में, पे, पर’, जिसका मूल है अंग्रेज़ी along अलाॅङ्ग 'के साथ'	असली			असली, वास्तविक, सच्चा, हक़ीक़ी, सत्य				лон	Ток-писин long ‘в, у на’, от английского along	быть	быть		реальный, истинный, существующий				lon	Tok Pisin long ‘em, (partícula espacial)’, do inglês along 'ao longo de'	real			real, verdadeiro, existente				lon	Tok Pisin long ‘an, in, auf (Spezialpartikel’, aus dem Englischen along	echt			realt, echt, existent			
✋	irregular	luka	Serbo-Croatian ruka рука ‘hand, arm’	hand	grab	arm, hand, tactile organ, wing	genitive				luka	Serbo-Croatian ruka рука ‘hand, arm’	手	抢	手臂、手、触觉器官、翅膀	手的（属格）				luka	Serbo-Croatian ruka рука ‘hand, arm’	手	搶	手臂、手、觸覺器官、翅膀	手的（屬格）				लूका	सर्ब-क्रोएशियन ruka рука रूका ‘हाथ, बाजु’	हाथ	पकड़ना	हाथ, बाह, बाजु, शाखा	हाथ का				лука	Сербо-хорватский ruka рука ‘рука’	рука	хватать	рука, кисть, тактильный орган, крыло	ручной				luka	Servo-croata ruka рука ‘mão, braço’	mão	agarrar	braço, mão, órgão tátil, asa	genitivo				luka	Serbokroatisch ruka рука ‘Hand, Arm	Hand	greifen	Arm, Hand, Tastorgan, Flügel	Genitiv			
👀	verb	lukin	Tok Pisin lukim ‘see, look at’, luk ‘look’ (from English look) + -im ‘(transitive suffix)' (from English him, ’em)	see	to look at, to see, to examine, to observe, to read, to watch	view					lukin	Tok Pisin lukim ‘see, look at’, luk ‘look’ (from English look) + -im ‘(transitive suffix)' (from English him, ’em)	看	看、检查、观察、阅读、观看	视图、景色、视线					lukin	Tok Pisin lukim ‘see, look at’, luk ‘look’ (from English look) + -im ‘(transitive suffix)' (from English him, ’em)	看	看、檢查、觀察、閱讀、觀看	視圖、景色、視線					लूकीं	टोक पिसिन lukim लुकीम ‘देखना’	देखना	देखना, पढना, जाँच करना	नज़ारा					лукин	Ток-писин lukim ‘видеть, смотреть на’, luk ‘смотреть’ (от английского look) + -im ‘(переходный суффикс)' (с английского him, ’em)	видеть	смотреть, видеть	вид, пейзаж, панорама					lukin	Tok Pisin lukim ‘ver, olhar para’, luk ‘olhar’ (do inglês look 'olhar') + -im ‘(sufixo transitivo)' (do inglês him, ’em)	ver	olhar para, ver, examinar, observar, ler, assistir a	vista					lukin	Tok Pisin lukim ‘sehen, angucken’, luk ‘gucken’ (aus dem Englischen look) + -im ‘(transitiver Suffix)' (aus dem Englischen him, ’em)	sehen	anschauen, sehen, gucken, beobachten, lesen	Sicht				
🕳️	noun	lupa	Lojban clupa ‘loop’ (from Mandarin 圈 quān, English loop, Hindi पाश pāś, Arabic أنشوطة‏ ʾanšūṭa)	hole		door, hole, orifice, window, cave					lupa	Lojban clupa ‘loop’ (from Mandarin 圈 quān, English loop, Hindi पाश pāś, Arabic أنشوطة‏ ʾanšūṭa)	洞		门、洞、孔、窗、洞					lupa	Lojban clupa ‘loop’ (from Mandarin 圈 quān, English loop, Hindi पाश pāś, Arabic أنشوطة‏ ʾanšūṭa)	洞		門、洞、孔、窗、洞					लूपा	लोजबान clupa क्लूपा ‘लूप, पाश’	छेद		दरवाज़ा, छेद, खिड़की, गुफ़ा					лупа	Ложбан clupa ‘петля’ (с китайского 圈 quān, английского loop, хинди पाश pāś, арабского أنشوطة‏ ʾanšūṭa)	дыра		дверь, отверстие, нора, окно, пещера, влагалище					lupa	Lojban clupa ‘ciclo’ (do mandarim 圈 quān, inglês loop, híndi पाश pāś, árabe أنشوطة‏ ʾanšūṭa)	buraco		porta, buraco, orifício, janela, caverna					lupa	Lojban clupa ‘Schlaufe’ (aus Mandarin 圈 quān, Englisch loop, Hindi पाश pāś, Arabisch أنشوطة‏ ʾanšūṭa)	Loch		Tür, Loch, Öffnung, Fenster, Höhle				
🌍	noun	ma	Finnish maa ‘earth, land’	earth		earth, land, outdoors, world, country, territory, soil, ground					ma	Finnish maa ‘earth, land’	土地		地球、土地、户外、世界、国家、领土、土壤、地面					ma	Finnish maa ‘earth, land’	土地		地球、土地、戶外、世界、國家、領土、土壤、地面					मा	फ़िन्निश maa मा ‘धरती’	धरती		धरती, ज़मीन, भूमि, दुनिया, देश, मिट्टी, वतन, मुल्क					ма	Финский maa ‘земля, страна’	земля		Земля, ландшафт, открытое пространство, мир, страна, территория, почва, район					ma	Finlandês maa ‘terra’	terra		terra, lado de fora, mundo, país, território, solo, chão					ma	Finnisch maa 'Erde, Land’	Erde		Erde, Land, draußen, Welt, Land, Territorium, Boden				
